file_name,final_source,height,width,n_annotations,was_in_old,is_truly_new_vs_old
IMAGE1.png,new_zip_2,426,574,101,False,True
IMAGE2.png,new_zip_2,403,595,166,False,True
IMAGE3.jpg,new_zip_2,180,244,460,False,True
IMAGE4.png,new_zip_2,478,643,220,False,True
IMAGE5.png,new_zip_2,450,1298,307,False,True
IMAGE6.png,new_zip_2,535,720,98,False,True
IMAGE7.png,new_zip_2,632,923,349,False,True
IMAGE8.png,new_zip_2,502,757,721,False,True
image_1.png,new_zip_1,640,640,275,True,False
image_10.png,new_zip_1,640,640,671,True,False
image_100.png,new_zip_1,640,640,137,True,False
image_101.png,new_zip_1,640,640,71,True,False
image_102.png,new_zip_1,640,640,105,True,False
image_103.png,new_zip_1,640,640,426,True,False
image_104.png,new_zip_1,640,640,126,True,False
image_105.png,new_zip_1,640,640,151,True,False
image_106.png,new_zip_1,640,640,571,True,False
image_107.png,new_zip_1,640,640,204,True,False
image_108.png,new_zip_1,640,640,59,True,False
image_109.png,new_zip_1,640,640,76,True,False
image_11.png,new_zip_1,640,640,71,True,False
image_12.png,new_zip_1,640,640,1034,True,False
image_13.png,new_zip_1,640,640,145,True,False
image_14.png,new_zip_1,640,640,374,True,False
image_15.png,new_zip_1,640,640,180,True,False
image_16.png,new_zip_1,640,640,109,True,False
image_17.png,new_zip_1,640,640,155,True,False
image_19.png,new_zip_1,640,640,451,True,False
image_2.png,new_zip_1,640,640,310,True,False
image_21.png,new_zip_1,640,640,144,True,False
image_23.png,new_zip_1,640,640,412,True,False
image_24.png,new_zip_1,640,640,152,True,False
image_28.png,new_zip_1,640,640,284,True,False
image_29.png,new_zip_1,640,640,238,True,False
image_3.png,new_zip_1,640,640,100,True,False
image_30.png,new_zip_1,640,640,447,True,False
image_31.png,new_zip_1,640,640,245,True,False
image_32.png,new_zip_1,640,640,85,True,False
image_33.png,new_zip_1,640,640,229,True,False
image_34.png,new_zip_1,640,640,247,True,False
image_35.png,new_zip_1,640,640,383,True,False
image_36.png,new_zip_1,640,640,76,True,False
image_37.png,new_zip_1,640,640,566,True,False
image_38.png,new_zip_1,640,640,542,True,False
image_39.png,new_zip_1,640,640,450,True,False
image_4.png,new_zip_1,640,640,387,True,False
image_40.png,new_zip_1,640,640,316,True,False
image_41.png,new_zip_1,640,640,466,True,False
image_42.png,new_zip_1,640,640,376,True,False
image_43.png,new_zip_1,640,640,562,True,False
image_44.png,new_zip_1,640,640,777,True,False
image_47.png,new_zip_1,640,640,299,True,False
image_49.png,new_zip_1,640,640,298,True,False
image_5.png,new_zip_1,640,640,237,True,False
image_50.png,new_zip_1,640,640,118,True,False
Image_51.png,new_zip_1,640,640,510,True,False
image_52.png,new_zip_1,640,640,48,True,False
image_53.png,new_zip_1,640,640,134,True,False
image_54.png,new_zip_1,640,640,111,True,False
image_55.png,new_zip_1,640,640,77,True,False
image_56.png,new_zip_1,640,640,216,True,False
image_57.png,new_zip_1,640,640,29,True,False
image_58.png,new_zip_1,640,640,226,True,False
image_59.png,new_zip_1,640,640,294,True,False
image_60.png,new_zip_1,640,640,102,True,False
image_61.png,new_zip_1,640,640,220,True,False
image_62.png,new_zip_1,640,640,234,True,False
image_63.png,new_zip_1,640,640,118,True,False
image_64.png,new_zip_1,640,640,163,True,False
image_65.png,new_zip_1,640,640,539,True,False
image_66.png,new_zip_1,640,640,293,True,False
image_67.png,new_zip_1,640,640,112,True,False
image_68.png,new_zip_1,640,640,313,True,False
image_69.png,new_zip_1,640,640,150,True,False
image_7.png,new_zip_1,640,640,425,True,False
image_70.png,new_zip_1,640,640,71,True,False
image_71.png,new_zip_1,640,640,102,True,False
image_72.png,new_zip_1,640,640,307,True,False
image_73.png,new_zip_1,640,640,177,True,False
image_74.png,new_zip_1,640,640,83,True,False
image_75.png,new_zip_1,640,640,126,True,False
image_76.png,new_zip_1,640,640,324,True,False
image_77.png,new_zip_1,640,640,77,True,False
image_78.png,new_zip_1,640,640,440,True,False
image_79.png,new_zip_1,640,640,365,True,False
image_8.png,new_zip_1,640,640,301,True,False
image_80.png,new_zip_1,640,640,640,True,False
image_81.png,new_zip_1,640,640,633,True,False
image_82.png,new_zip_1,640,640,317,True,False
image_83.png,new_zip_1,640,640,145,True,False
image_84.png,new_zip_1,640,640,194,True,False
image_85.png,new_zip_1,640,640,106,True,False
image_86.png,new_zip_1,640,640,176,True,False
image_87.png,new_zip_1,640,640,178,True,False
image_88.png,new_zip_1,640,640,111,True,False
image_89.png,new_zip_1,640,640,338,True,False
image_9.png,new_zip_1,640,640,273,True,False
image_90.png,new_zip_1,640,640,187,True,False
image_91.png,new_zip_1,640,640,185,True,False
image_92.png,new_zip_1,640,640,160,True,False
image_93.png,new_zip_1,640,640,385,True,False
image_94.png,new_zip_1,640,640,137,True,False
image_95.png,new_zip_1,640,640,175,True,False
image_96.png,new_zip_1,640,640,516,True,False
image_97.png,new_zip_1,640,640,459,True,False
image_98.png,new_zip_1,640,640,589,True,False
image_99.png,new_zip_1,640,640,98,True,False
TESTIMAGE.png,new_zip_2,396,388,484,False,True
TESTIMAGEINV.png,new_zip_2,396,388,489,False,True
TESTIMAGEMINI.png,new_zip_2,147,143,84,False,True
